Name,MAE,Error
pKa_basic_test,4.215249394233946,0
nRing_test,1.6153846153846154,18
LogP_test,2.400613513924501,0
nHD_test,2.266304347826087,16
pKa_acidic_test,7.7932878466387745,0
nRot_test,7.228260869565218,16
nHet_test,6.670329670329671,18
nHA_test,24.11413043478261,16
Molecular_Weight_test,5.5248618784530385e+85,19
Density_test,0.017383932937411018,18
Flexibility_test,0.9181220435634518,18
nRig_test,5.494505494505495e+108,18
TPSA_test,111.56972527472533,18
MaxRing_test,5.494505494505495e+108,18
Melting_point_test,130.9312939737576,0
LogD7_4_test,1.9296073662732602,0
Boiling_point_test,314.72712866384575,0
Volume_test,5.555555555555555e+49,20
fChar_test,1.4782608695652173,16
LogS_test,4.9058379089159905,0
Stereo_Centers_test,2.261111111111111,20
